openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00268912, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00257492, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00257492, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00257111, 200, 30, 0.05, 0.85, 1
openmp, 1, 0.00242901, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00201607, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00183082, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00184584, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00184107, 200, 30, 0.05, 0.85, 1
openmp, 2, 0.00188804, 200, 30, 0.05, 0.85, 1
openmp, 3, 0.00167394, 200, 30, 0.05, 0.85, 1
openmp, 3, 0.0025959, 200, 30, 0.05, 0.85, 1
openmp, 3, 0.00165796, 200, 30, 0.05, 0.85, 1
openmp, 3, 0.00177813, 200, 30, 0.05, 0.85, 1
openmp, 3, 0.00201702, 200, 30, 0.05, 0.85, 1
openmp, 4, 0.00216198, 200, 31, 0.05, 0.85, 1
openmp, 4, 0.00162792, 200, 31, 0.05, 0.85, 1
openmp, 4, 0.00166202, 200, 31, 0.05, 0.85, 1
openmp, 4, 0.00205016, 200, 31, 0.05, 0.85, 1
openmp, 4, 0.00188494, 200, 31, 0.05, 0.85, 1
openmp, 5, 0.00193977, 200, 30, 0.05, 0.85, 1
openmp, 5, 0.00195003, 200, 30, 0.05, 0.85, 1
openmp, 5, 0.00188303, 200, 30, 0.05, 0.85, 1
openmp, 5, 0.00191092, 200, 30, 0.05, 0.85, 1
openmp, 5, 0.00241899, 200, 30, 0.05, 0.85, 1
openmp, 6, 0.00509286, 200, 36, 0.05, 0.85, 1
openmp, 6, 0.00294495, 200, 36, 0.05, 0.85, 1
openmp, 6, 0.00247693, 200, 36, 0.05, 0.85, 1
openmp, 6, 0.00247097, 200, 36, 0.05, 0.85, 1
openmp, 6, 0.00232887, 200, 36, 0.05, 0.85, 1
openmp, 7, 0.00177288, 200, 30, 0.05, 0.85, 1
openmp, 7, 0.00351119, 200, 30, 0.05, 0.85, 1
openmp, 7, 0.00363302, 200, 30, 0.05, 0.85, 1
openmp, 7, 0.00219488, 200, 30, 0.05, 0.85, 1
openmp, 7, 0.00197506, 200, 30, 0.05, 0.85, 1
openmp, 8, 0.203177, 200, 31, 0.05, 0.85, 1
openmp, 8, 0.00213599, 200, 31, 0.05, 0.85, 1
openmp, 8, 0.0392408, 200, 31, 0.05, 0.85, 1
openmp, 8, 0.00283813, 200, 31, 0.05, 0.85, 1
openmp, 8, 0.0020082, 200, 31, 0.05, 0.85, 1
openmp, 9, 0.00212502, 200, 37, 0.05, 0.85, 1
openmp, 9, 0.00488496, 200, 37, 0.05, 0.85, 1
openmp, 9, 0.00596023, 200, 37, 0.05, 0.85, 1
