openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00207901, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00213814, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00197601, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00194097, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00197196, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00621581, 200, 15, 0.05, 0.85, 1.00007
openmp, 2, 0.00659609, 200, 17, 0.05, 0.85, 1.00001
openmp, 2, 0.00660086, 200, 17, 0.05, 0.85, 1.00001
openmp, 2, 0.00685811, 200, 17, 0.05, 0.85, 1.00005
openmp, 2, 0.0062499, 200, 16, 0.05, 0.85, 0.999992
openmp, 3, 0.002738, 200, 7, 0.05, 0.85, 0.999983
openmp, 3, 0.00265193, 200, 7, 0.05, 0.85, 1.00023
openmp, 3, 0.00297904, 200, 8, 0.05, 0.85, 1.0001
openmp, 3, 0.00295281, 200, 8, 0.05, 0.85, 1.00052
openmp, 3, 0.00275707, 200, 8, 0.05, 0.85, 1.00086
openmp, 4, 0.00333095, 200, 7, 0.05, 0.85, 1.00091
openmp, 4, 0.00301695, 200, 7, 0.05, 0.85, 0.999794
openmp, 4, 0.00304103, 200, 7, 0.05, 0.85, 1.00134
openmp, 4, 0.00290799, 200, 8, 0.05, 0.85, 1.00113
openmp, 4, 0.00336885, 200, 8, 0.05, 0.85, 1.00126
openmp, 5, 0.00380588, 200, 8, 0.05, 0.85, 1.00062
openmp, 5, 0.00308895, 200, 8, 0.05, 0.85, 1.00125
openmp, 5, 0.0033679, 200, 7, 0.05, 0.85, 1.00094
openmp, 5, 0.00288796, 200, 7, 0.05, 0.85, 1.00051
openmp, 5, 0.00289893, 200, 7, 0.05, 0.85, 1.00041
openmp, 6, 0.00315809, 200, 8, 0.05, 0.85, 1.00056
openmp, 6, 0.003227, 200, 7, 0.05, 0.85, 0.999106
openmp, 6, 0.00299716, 200, 7, 0.05, 0.85, 1.00066
openmp, 6, 0.00321293, 200, 7, 0.05, 0.85, 1.00017
openmp, 6, 0.00316906, 200, 7, 0.05, 0.85, 1.0003
openmp, 7, 0.00330091, 200, 7, 0.05, 0.85, 1.00129
openmp, 7, 0.00398016, 200, 8, 0.05, 0.85, 1.0007
openmp, 7, 0.0031209, 200, 7, 0.05, 0.85, 1.0002
openmp, 7, 0.003268, 200, 7, 0.05, 0.85, 1.00033
openmp, 7, 0.00453591, 200, 10, 0.05, 0.85, 1.00098
openmp, 8, 0.00282216, 200, 7, 0.05, 0.85, 1.00117
openmp, 8, 0.00366211, 200, 7, 0.05, 0.85, 1.0003
openmp, 8, 0.00382209, 200, 7, 0.05, 0.85, 1.00079
openmp, 8, 0.00545502, 200, 7, 0.05, 0.85, 1.00059
openmp, 8, 0.00499797, 200, 7, 0.05, 0.85, 1.0008
openmp, 9, 0.010587, 200, 21, 0.05, 0.85, 1.00048
openmp, 9, 0.00764394, 200, 7, 0.05, 0.85, 1.0006
openmp, 9, 0.00586605, 200, 7, 0.05, 0.85, 1.00069
openmp, 9, 0.00599194, 200, 8, 0.05, 0.85, 1.00152
openmp, 9, 0.00325108, 200, 7, 0.05, 0.85, 0.999644
openmp, 10, 0.010339, 200, 20, 0.05, 0.85, 1.00055
openmp, 10, 0.00397515, 200, 7, 0.05, 0.85, 1.00096
openmp, 10, 0.0058682, 200, 11, 0.05, 0.85, 1.00149
openmp, 10, 0.00739789, 200, 8, 0.05, 0.85, 1.00125
openmp, 10, 0.00493598, 200, 7, 0.05, 0.85, 1.00029
openmp, 11, 0.0046339, 200, 7, 0.05, 0.85, 1.00011
openmp, 11, 0.00453115, 200, 7, 0.05, 0.85, 1
openmp, 11, 0.00668406, 200, 7, 0.05, 0.85, 1.00038
openmp, 11, 0.0110531, 200, 21, 0.05, 0.85, 1.00056
openmp, 11, 0.00602412, 200, 8, 0.05, 0.85, 1.00135
openmp, 12, 0.00645518, 200, 7, 0.05, 0.85, 1.00081
openmp, 12, 0.00475693, 200, 7, 0.05, 0.85, 1.0003
openmp, 12, 0.0059731, 200, 7, 0.05, 0.85, 1.00068
openmp, 12, 0.00383306, 200, 7, 0.05, 0.85, 1.0003
openmp, 12, 0.00508499, 200, 7, 0.05, 0.85, 1.00027
openmp, 13, 0.00901508, 200, 7, 0.05, 0.85, 1.00021
openmp, 13, 0.0121479, 200, 8, 0.05, 0.85, 1.00153
openmp, 13, 0.00567698, 200, 7, 0.05, 0.85, 1.0007
openmp, 13, 0.00720692, 200, 8, 0.05, 0.85, 1.0012
openmp, 13, 0.157733, 200, 7, 0.05, 0.85, 1.00007
openmp, 14, 0.20183, 200, 7, 0.05, 0.85, 1.00162
openmp, 14, 0.202164, 200, 7, 0.05, 0.85, 1.00094
openmp, 14, 0.0782351, 200, 15, 0.05, 0.85, 1.00108
openmp, 14, 0.00462508, 200, 8, 0.05, 0.85, 1.00128
openmp, 14, 0.00536084, 200, 7, 0.05, 0.85, 1.00082
openmp, 15, 0.201297, 200, 7, 0.05, 0.85, 1.00101
openmp, 15, 0.202181, 200, 7, 0.05, 0.85, 1.00029
openmp, 15, 0.0460889, 200, 7, 0.05, 0.85, 1.00128
openmp, 15, 0.00727701, 200, 8, 0.05, 0.85, 1.00199
openmp, 15, 0.00669003, 200, 8, 0.05, 0.85, 1.00162
openmp, 16, 0.00697112, 200, 8, 0.05, 0.85, 1.00093
openmp, 16, 0.00911117, 200, 14, 0.05, 0.85, 0.97732
openmp, 16, 0.00518608, 200, 7, 0.05, 0.85, 1.0001
openmp, 16, 0.00668097, 200, 7, 0.05, 0.85, 1.00128
openmp, 16, 0.00912809, 200, 7, 0.05, 0.85, 1.00032
openmp, 17, 0.014883, 200, 8, 0.05, 0.85, 1.00162
openmp, 17, 0.00582099, 200, 9, 0.05, 0.85, 1.00156
openmp, 17, 0.205702, 200, 7, 0.05, 0.85, 1.00142
openmp, 17, 0.00654912, 200, 7, 0.05, 0.85, 1.00143
openmp, 17, 0.00902796, 200, 7, 0.05, 0.85, 1.00056
openmp, 18, 0.0104032, 200, 7, 0.05, 0.85, 1.00161
openmp, 18, 0.0167649, 200, 7, 0.05, 0.85, 1.00089
openmp, 18, 0.202497, 200, 8, 0.05, 0.85, 1.00122
openmp, 18, 0.201492, 200, 7, 0.05, 0.85, 1.00066
openmp, 18, 0.00737977, 200, 7, 0.05, 0.85, 1.00019
openmp, 19, 0.202773, 200, 8, 0.05, 0.85, 1.00135
openmp, 19, 0.008389, 200, 8, 0.05, 0.85, 1.00126
openmp, 19, 0.00875592, 200, 7, 0.05, 0.85, 1.00025
openmp, 19, 0.20161, 200, 8, 0.05, 0.85, 1.0005
openmp, 19, 0.0114758, 200, 7, 0.05, 0.85, 1.0002
