openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00205803, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00218701, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00201607, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00183892, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00195408, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00911403, 282, 14, 0.05, 0.85, 0.999902
openmp, 2, 0.0105622, 282, 15, 0.05, 0.85, 1.00008
openmp, 2, 0.00695014, 282, 11, 0.05, 0.85, 0.999983
openmp, 2, 0.0115371, 282, 17, 0.05, 0.85, 1.00001
openmp, 2, 0.0110681, 282, 16, 0.05, 0.85, 0.999974
openmp, 3, 0.00446296, 346, 6, 0.05, 0.85, 1.00012
openmp, 3, 0.00434208, 346, 6, 0.05, 0.85, 0.999812
openmp, 3, 0.00425601, 346, 6, 0.05, 0.85, 0.999541
openmp, 3, 0.00433183, 346, 6, 0.05, 0.85, 0.999486
openmp, 3, 0.00522113, 346, 7, 0.05, 0.85, 0.999835
openmp, 4, 0.00469303, 400, 5, 0.05, 0.85, 1.00106
openmp, 4, 0.00357699, 400, 6, 0.05, 0.85, 0.999637
openmp, 4, 0.00347304, 400, 5, 0.05, 0.85, 0.999961
openmp, 4, 0.00486088, 400, 5, 0.05, 0.85, 0.999753
openmp, 4, 0.00416303, 400, 6, 0.05, 0.85, 0.999147
openmp, 5, 0.00453687, 447, 5, 0.05, 0.85, 0.999672
openmp, 5, 0.00445819, 447, 5, 0.05, 0.85, 0.99986
openmp, 5, 0.00450683, 447, 5, 0.05, 0.85, 1.00027
openmp, 5, 0.00383091, 447, 5, 0.05, 0.85, 1.00007
openmp, 5, 0.00460291, 447, 5, 0.05, 0.85, 0.999917
openmp, 6, 0.00482202, 489, 5, 0.05, 0.85, 0.999992
openmp, 6, 0.00444007, 489, 5, 0.05, 0.85, 0.999864
openmp, 6, 0.00367188, 489, 5, 0.05, 0.85, 0.999782
openmp, 6, 0.011312, 489, 5, 0.05, 0.85, 1.00049
openmp, 6, 0.0038569, 489, 5, 0.05, 0.85, 1.0002
openmp, 7, 0.201541, 529, 5, 0.05, 0.85, 0.999901
openmp, 7, 0.0048182, 529, 5, 0.05, 0.85, 0.999969
openmp, 7, 0.00508094, 529, 5, 0.05, 0.85, 0.999969
openmp, 7, 0.0048008, 529, 5, 0.05, 0.85, 0.999285
openmp, 7, 0.00516987, 529, 5, 0.05, 0.85, 0.999973
openmp, 8, 0.15608, 565, 5, 0.05, 0.85, 1.00027
openmp, 8, 0.1607, 565, 5, 0.05, 0.85, 1.00024
openmp, 8, 0.06864, 565, 5, 0.05, 0.85, 0.999942
openmp, 8, 0.00619602, 565, 5, 0.05, 0.85, 0.999865
openmp, 8, 0.00638294, 565, 5, 0.05, 0.85, 0.999944
openmp, 9, 0.00540209, 600, 5, 0.05, 0.85, 1.0003
openmp, 9, 0.0108101, 600, 5, 0.05, 0.85, 0.999921
openmp, 9, 0.0119529, 600, 5, 0.05, 0.85, 0.999667
openmp, 9, 0.00518179, 600, 5, 0.05, 0.85, 0.999933
openmp, 9, 0.0382311, 600, 5, 0.05, 0.85, 1.00014
openmp, 10, 0.00662112, 632, 5, 0.05, 0.85, 0.999792
openmp, 10, 0.159863, 632, 5, 0.05, 0.85, 1.00005
openmp, 10, 0.182853, 632, 5, 0.05, 0.85, 1.00006
openmp, 10, 0.00468302, 632, 5, 0.05, 0.85, 0.99965
openmp, 10, 0.00881481, 632, 5, 0.05, 0.85, 0.99998
openmp, 11, 0.00935984, 663, 5, 0.05, 0.85, 0.999834
openmp, 11, 0.00491405, 663, 5, 0.05, 0.85, 0.999898
openmp, 11, 0.00977707, 663, 5, 0.05, 0.85, 1.00018
openmp, 11, 0.007061, 663, 5, 0.05, 0.85, 0.99982
openmp, 11, 0.00943899, 663, 5, 0.05, 0.85, 0.999923
openmp, 12, 0.00687194, 692, 5, 0.05, 0.85, 0.999865
openmp, 12, 0.015065, 692, 5, 0.05, 0.85, 0.999758
openmp, 12, 0.010963, 692, 5, 0.05, 0.85, 0.999994
openmp, 12, 0.00883102, 692, 5, 0.05, 0.85, 0.999934
openmp, 12, 0.0101259, 692, 5, 0.05, 0.85, 1.00002
openmp, 13, 0.00607991, 721, 5, 0.05, 0.85, 1.00004
openmp, 13, 0.013649, 721, 5, 0.05, 0.85, 0.999812
openmp, 13, 0.013696, 721, 5, 0.05, 0.85, 0.999876
openmp, 13, 0.0148818, 721, 5, 0.05, 0.85, 0.999959
openmp, 13, 0.037792, 721, 5, 0.05, 0.85, 1.00001
openmp, 14, 0.210043, 748, 5, 0.05, 0.85, 0.999924
openmp, 14, 0.0949929, 748, 5, 0.05, 0.85, 0.999929
openmp, 14, 0.208766, 748, 5, 0.05, 0.85, 0.999992
