openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00201607, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00200605, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00194693, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00184989, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00179601, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00725293, 200, 19, 0.05, 0.85, 1.00007
openmp, 2, 0.00673199, 200, 18, 0.05, 0.85, 1
openmp, 2, 0.00586009, 200, 15, 0.05, 0.85, 1.00006
openmp, 2, 0.00457215, 200, 12, 0.05, 0.85, 1.00013
openmp, 2, 0.00538802, 200, 14, 0.05, 0.85, 0.999996
openmp, 3, 0.00268507, 200, 7, 0.05, 0.85, 0.998928
openmp, 3, 0.00264621, 200, 7, 0.05, 0.85, 1.00045
openmp, 3, 0.00252986, 200, 7, 0.05, 0.85, 1.00032
openmp, 3, 0.00331998, 200, 8, 0.05, 0.85, 0.999417
openmp, 3, 0.00300694, 200, 8, 0.05, 0.85, 1.00081
openmp, 4, 0.00382495, 200, 11, 0.05, 0.85, 1.00136
openmp, 4, 0.00313902, 200, 7, 0.05, 0.85, 0.999534
openmp, 4, 0.00316405, 200, 7, 0.05, 0.85, 0.999642
openmp, 4, 0.0028739, 200, 7, 0.05, 0.85, 1.00153
openmp, 4, 0.00307202, 200, 6, 0.05, 0.85, 0.99977
openmp, 5, 0.00307679, 200, 7, 0.05, 0.85, 1.00163
openmp, 5, 0.00290513, 200, 7, 0.05, 0.85, 0.999957
openmp, 5, 0.00313592, 200, 7, 0.05, 0.85, 1.00115
openmp, 5, 0.00321102, 200, 7, 0.05, 0.85, 0.999563
openmp, 5, 0.00320101, 200, 7, 0.05, 0.85, 1.00013
openmp, 6, 0.00288105, 200, 7, 0.05, 0.85, 1.00069
openmp, 6, 0.003299, 200, 7, 0.05, 0.85, 1.00016
openmp, 6, 0.00320292, 200, 8, 0.05, 0.85, 1.00149
openmp, 6, 0.00298715, 200, 7, 0.05, 0.85, 1.00131
openmp, 6, 0.00375795, 200, 8, 0.05, 0.85, 1.00109
openmp, 7, 0.00316811, 200, 7, 0.05, 0.85, 1.00093
openmp, 7, 0.00450397, 200, 7, 0.05, 0.85, 1.00122
openmp, 7, 0.00347304, 200, 7, 0.05, 0.85, 1.00018
openmp, 7, 0.00321913, 200, 7, 0.05, 0.85, 1.00148
openmp, 7, 0.00320697, 200, 7, 0.05, 0.85, 1.00092
openmp, 8, 0.00347781, 200, 7, 0.05, 0.85, 1.00048
openmp, 8, 0.00322795, 200, 7, 0.05, 0.85, 1.00008
openmp, 8, 0.039602, 200, 8, 0.05, 0.85, 1.00136
openmp, 8, 0.00483704, 200, 7, 0.05, 0.85, 1.00032
openmp, 8, 0.00328398, 200, 7, 0.05, 0.85, 0.999962
openmp, 9, 0.00512195, 200, 7, 0.05, 0.85, 0.999358
openmp, 9, 0.00520396, 200, 7, 0.05, 0.85, 1.00019
openmp, 9, 0.00388408, 200, 7, 0.05, 0.85, 1.00003
openmp, 9, 0.00339103, 200, 7, 0.05, 0.85, 1.00056
openmp, 9, 0.00429106, 200, 8, 0.05, 0.85, 1.00159
openmp, 10, 0.011492, 200, 27, 0.05, 0.85, 1.00025
openmp, 10, 0.00488901, 200, 8, 0.05, 0.85, 1.00145
openmp, 10, 0.0047009, 200, 7, 0.05, 0.85, 1.00076
openmp, 10, 0.00352597, 200, 7, 0.05, 0.85, 1.00087
openmp, 10, 0.00475883, 200, 7, 0.05, 0.85, 1.00058
openmp, 11, 0.00559115, 200, 7, 0.05, 0.85, 1.00114
openmp, 11, 0.00440717, 200, 8, 0.05, 0.85, 1.00149
openmp, 11, 0.00560999, 200, 7, 0.05, 0.85, 0.999997
openmp, 11, 0.005584, 200, 7, 0.05, 0.85, 1.00034
openmp, 11, 0.0158298, 200, 7, 0.05, 0.85, 0.999966
openmp, 12, 0.00701213, 200, 9, 0.05, 0.85, 1.00144
openmp, 12, 0.0123119, 200, 7, 0.05, 0.85, 1.00107
openmp, 12, 0.00576997, 200, 7, 0.05, 0.85, 1.00096
openmp, 12, 0.0058322, 200, 7, 0.05, 0.85, 0.999498
openmp, 12, 0.0059669, 200, 8, 0.05, 0.85, 1.00129
openmp, 13, 0.0142891, 200, 7, 0.05, 0.85, 1.00009
openmp, 13, 0.00430799, 200, 7, 0.05, 0.85, 1.00076
openmp, 13, 0.00618792, 200, 8, 0.05, 0.85, 1.00171
openmp, 13, 0.00778198, 200, 9, 0.05, 0.85, 1.00178
openmp, 13, 0.00560784, 200, 8, 0.05, 0.85, 1.00126
openmp, 14, 0.00676394, 200, 7, 0.05, 0.85, 1.0012
openmp, 14, 0.00593209, 200, 7, 0.05, 0.85, 0.999997
openmp, 14, 0.00873089, 200, 7, 0.05, 0.85, 1.0011
openmp, 14, 0.00480485, 200, 7, 0.05, 0.85, 1.00088
openmp, 14, 0.00713801, 200, 7, 0.05, 0.85, 1.00033
openmp, 15, 0.00548697, 200, 7, 0.05, 0.85, 1.00037
openmp, 15, 0.00389314, 200, 7, 0.05, 0.85, 1.00064
openmp, 15, 0.00888586, 200, 7, 0.05, 0.85, 1.00031
openmp, 15, 0.0120418, 200, 7, 0.05, 0.85, 1.00019
openmp, 15, 0.00550818, 200, 8, 0.05, 0.85, 1.00131
openmp, 16, 0.00995708, 200, 7, 0.05, 0.85, 1.00122
openmp, 16, 0.0242369, 200, 7, 0.05, 0.85, 1.00114
openmp, 16, 0.202668, 200, 8, 0.05, 0.85, 1.00068
