openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 0.00187993, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00188279, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00187612, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00201988, 200, 2, 0.05, 0.85, 1
openmp, 1, 0.00180888, 200, 2, 0.05, 0.85, 1
openmp, 2, 0.00730801, 200, 19, 0.05, 0.85, 0.999991
openmp, 2, 0.00482488, 200, 12, 0.05, 0.85, 1.00015
openmp, 2, 0.00558805, 200, 15, 0.05, 0.85, 1.00003
openmp, 2, 0.00594902, 200, 16, 0.05, 0.85, 1.00005
openmp, 2, 0.00374794, 200, 10, 0.05, 0.85, 0.999935
openmp, 3, 0.00244617, 200, 8, 0.05, 0.85, 0.998867
openmp, 3, 0.00300288, 200, 8, 0.05, 0.85, 1.00106
openmp, 3, 0.00240707, 200, 7, 0.05, 0.85, 1.00025
openmp, 3, 0.00231886, 200, 7, 0.05, 0.85, 0.999475
openmp, 3, 0.00318718, 200, 7, 0.05, 0.85, 0.999847
openmp, 4, 0.00266218, 200, 7, 0.05, 0.85, 1.00142
openmp, 4, 0.00288987, 200, 6, 0.05, 0.85, 1.0004
openmp, 4, 0.00242805, 200, 7, 0.05, 0.85, 0.999851
openmp, 4, 0.00293994, 200, 7, 0.05, 0.85, 0.99899
openmp, 4, 0.0024879, 200, 7, 0.05, 0.85, 0.999296
openmp, 5, 0.00320697, 200, 7, 0.05, 0.85, 0.999138
openmp, 5, 0.00264597, 200, 7, 0.05, 0.85, 1.00081
openmp, 5, 0.00280714, 200, 7, 0.05, 0.85, 1.00032
openmp, 5, 0.00241017, 200, 6, 0.05, 0.85, 0.999196
openmp, 5, 0.00273204, 200, 7, 0.05, 0.85, 1.00057
openmp, 6, 0.00316811, 200, 7, 0.05, 0.85, 1.0014
openmp, 6, 0.00274587, 200, 7, 0.05, 0.85, 0.998224
openmp, 6, 0.00247383, 200, 7, 0.05, 0.85, 1.00021
openmp, 6, 0.00375605, 200, 7, 0.05, 0.85, 0.999812
openmp, 6, 0.00263, 200, 7, 0.05, 0.85, 1.00075
openmp, 7, 0.00252795, 200, 7, 0.05, 0.85, 0.998414
openmp, 7, 0.00276995, 200, 7, 0.05, 0.85, 1.00014
openmp, 7, 0.00509691, 200, 7, 0.05, 0.85, 1.00031
openmp, 7, 0.00332499, 200, 7, 0.05, 0.85, 1.00139
openmp, 7, 0.00458097, 200, 6, 0.05, 0.85, 0.999526
openmp, 8, 0.00267601, 200, 7, 0.05, 0.85, 0.999367
openmp, 8, 0.00252604, 200, 7, 0.05, 0.85, 0.999957
openmp, 8, 0.00448203, 200, 6, 0.05, 0.85, 0.999867
openmp, 8, 0.00320697, 200, 8, 0.05, 0.85, 0.998677
openmp, 8, 0.00244188, 200, 7, 0.05, 0.85, 1.00023
openmp, 9, 0.0226419, 200, 7, 0.05, 0.85, 0.998834
openmp, 9, 0.0391612, 200, 7, 0.05, 0.85, 0.99998
openmp, 9, 0.00521803, 200, 7, 0.05, 0.85, 1.00097
openmp, 9, 0.00304818, 200, 7, 0.05, 0.85, 0.999144
openmp, 9, 0.00492001, 200, 7, 0.05, 0.85, 0.999552
openmp, 10, 0.00385404, 200, 7, 0.05, 0.85, 0.999209
openmp, 10, 0.00304794, 200, 7, 0.05, 0.85, 1.0005
openmp, 10, 0.00323606, 200, 7, 0.05, 0.85, 0.999726
openmp, 10, 0.00504088, 200, 8, 0.05, 0.85, 1.00165
openmp, 10, 0.00434399, 200, 7, 0.05, 0.85, 0.999524
openmp, 11, 0.00989294, 200, 7, 0.05, 0.85, 0.999569
openmp, 11, 0.00386596, 200, 6, 0.05, 0.85, 1.00078
openmp, 11, 0.00909805, 200, 7, 0.05, 0.85, 1.00062
openmp, 11, 0.0124302, 200, 14, 0.05, 0.85, 0.975856
openmp, 11, 0.00355315, 200, 7, 0.05, 0.85, 0.99994
openmp, 12, 0.00408697, 200, 7, 0.05, 0.85, 1.00049
openmp, 12, 0.181838, 200, 6, 0.05, 0.85, 0.999657
openmp, 12, 0.071079, 200, 6, 0.05, 0.85, 0.999242
openmp, 12, 0.20257, 200, 7, 0.05, 0.85, 0.999445
openmp, 12, 0.203199, 200, 7, 0.05, 0.85, 0.999534
openmp, 13, 0.0878899, 200, 7, 0.05, 0.85, 0.99902
openmp, 13, 0.11372, 200, 7, 0.05, 0.85, 0.999568
openmp, 13, 0.0212328, 200, 7, 0.05, 0.85, 1.00014
openmp, 13, 0.00479293, 200, 7, 0.05, 0.85, 0.998982
openmp, 13, 0.00902414, 200, 7, 0.05, 0.85, 1.00093
openmp, 14, 0.013819, 200, 7, 0.05, 0.85, 0.999202
openmp, 14, 0.00489521, 200, 7, 0.05, 0.85, 0.99939
openmp, 14, 0.0108042, 200, 7, 0.05, 0.85, 0.999623
openmp, 14, 0.0160699, 200, 7, 0.05, 0.85, 1.00021
openmp, 14, 0.00399613, 200, 7, 0.05, 0.85, 0.999703
