openmp, cores, time, n, iterations, p, d, checksum
openmp, 1, 2.86881, 20000, 2, 0.05, 0.85, 1
openmp, 1, 2.92234, 20000, 2, 0.05, 0.85, 1
openmp, 1, 2.87819, 20000, 2, 0.05, 0.85, 1
openmp, 1, 2.88584, 20000, 2, 0.05, 0.85, 1
openmp, 1, 2.88748, 20000, 2, 0.05, 0.85, 1
openmp, 2, 6.74819, 20000, 3, 0.05, 0.85, 1
openmp, 2, 5.37626, 20000, 3, 0.05, 0.85, 1
openmp, 2, 6.73478, 20000, 3, 0.05, 0.85, 1
openmp, 2, 6.71763, 20000, 3, 0.05, 0.85, 1
openmp, 2, 6.46337, 20000, 3, 0.05, 0.85, 1
openmp, 3, 2.72938, 20000, 3, 0.05, 0.85, 1
openmp, 3, 3.6328, 20000, 3, 0.05, 0.85, 0.999998
openmp, 3, 3.78915, 20000, 3, 0.05, 0.85, 1
openmp, 3, 3.07659, 20000, 3, 0.05, 0.85, 1
openmp, 3, 3.58935, 20000, 3, 0.05, 0.85, 1
openmp, 4, 2.3606, 20000, 3, 0.05, 0.85, 0.999999
openmp, 4, 2.13811, 20000, 3, 0.05, 0.85, 1
openmp, 4, 2.29572, 20000, 3, 0.05, 0.85, 0.999998
openmp, 4, 2.32155, 20000, 3, 0.05, 0.85, 0.999998
openmp, 4, 2.5666, 20000, 3, 0.05, 0.85, 0.999998
openmp, 5, 2.08969, 20000, 3, 0.05, 0.85, 1
openmp, 5, 2.15709, 20000, 3, 0.05, 0.85, 0.999996
openmp, 5, 2.10695, 20000, 3, 0.05, 0.85, 1
openmp, 5, 2.09155, 20000, 3, 0.05, 0.85, 1
openmp, 5, 2.10614, 20000, 3, 0.05, 0.85, 0.999999
openmp, 6, 1.84419, 20000, 3, 0.05, 0.85, 1
openmp, 6, 1.80435, 20000, 3, 0.05, 0.85, 1
openmp, 6, 1.86382, 20000, 3, 0.05, 0.85, 0.999998
openmp, 6, 1.79313, 20000, 3, 0.05, 0.85, 1
openmp, 6, 1.75439, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.55172, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.63018, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.65114, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.82842, 20000, 3, 0.05, 0.85, 1
openmp, 7, 1.91565, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.79279, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.74812, 20000, 3, 0.05, 0.85, 0.999998
openmp, 8, 1.61552, 20000, 3, 0.05, 0.85, 1
openmp, 8, 1.6481, 20000, 3, 0.05, 0.85, 0.999999
